id,word,base_form,derivations,level_marker,curriculum_version,notes
1839,A,A,,,2015,
2053,B,B,,,2015,
2224,C,C,,,2015,
2546,D,D,,,2015,
2731,E,E,,,2015,
2872,F,F,,,2015,
3024,G,G,,,2015,
3112,H,H,,,2015,
3201,I,I,,,2015,
3314,J,J,,,2015,
3335,K,K,,,2015,
3351,L,L,,,2015,
3445,M,M,,,2015,
3576,N,N,,,2015,
3642,O,O,,,2015,
3710,P,P,,,2015,
3943,Q,Q,,,2015,
3956,R,R,,,2015,
4114,S,S,,,2015,
4451,T,T,,,2015,
4610,U,U,,,2015,
4642,V,V,,,2015,
4689,W,W,,,2015,
4783,Y,Y,,,2015,
4792,Z,Z,,,2015,
1840,abandon,abandon,,,2015,
1841,able,able,,,2015,
1842,aboard,aboard,,,2015,
1843,abort,abort,,**,2015,
1844,about,about,,*,2015,
1845,above,above,,*,2015,
1846,abroad,abroad,,,2015,
1847,absent,absent,,,2015,
1848,absolute,absolute,,,2015,
1849,absorb,absorb,,,2015,
1850,abstract,abstract,,,2015,
1851,absurd,absurd,,**,2015,
1852,abundant,abundant,,,2015,
1853,abuse,abuse,,,2015,
1854,academy,academy,,*,2015,
1855,accelerate,accelerate,,,2015,
1856,accent,accent,,*,2015,
1857,accept,accept,,,2015,
1858,access,access,,,2015,
1859,accident,accident,,*,2015,
1860,accommodate,accommodate,,,2015,
1861,accompany,accompany,,,2015,
1862,accomplish,accomplish,,,2015,
1863,accord,accord,,**,2015,
1864,account,account,,,2015,
1865,accumulate,accumulate,,**,2015,
1866,accurate,accurate,,,2015,
1867,accuse,accuse,,,2015,
1868,achieve,achieve,,,2015,
1869,acid,acid,,,2015,
1870,acknowledge,acknowledge,,,2015,
1871,acquaint,acquaint,,**,2015,
1872,acquire,acquire,,,2015,
1873,acquisition,acquisition,,**,2015,
1874,across,across,,*,2015,
1875,act,act,,*,2015,
1876,activate,activate,,,2015,
1877,actual,actual,,,2015,
1878,acute,acute,,,2015,
1879,adapt,adapt,,,2015,
1880,add,add,,*,2015,
1881,addict,addict,,,2015,
1882,address,address,,*,2015,
1883,adequate,adequate,,,2015,
1884,adjust,adjust,,,2015,
1885,administer,administer,,,2015,
1886,admire,admire,,,2015,
1887,admission,admission,,,2015,
1888,admit,admit,,,2015,
1889,adolescent,adolescent,,,2015,
1890,adopt,adopt,,,2015,
1891,adult,adult,,*,2015,
1892,advance,advance,,,2015,
1893,advantage,advantage,,,2015,
1894,adventure,adventure,,*,2015,
1895,adverse,adverse,,**,2015,
1896,advise,advise,,*,2015,
1897,advocate,advocate,,,2015,
1898,aesthetic,aesthetic,,**,2015,
1899,affair,affair,,,2015,
1900,affect,affect,,,2015,
1901,affection,affection,,,2015,
1902,affiliate,affiliate,,**,2015,
1903,afford,afford,,,2015,
1904,afraid,afraid,,*,2015,
1905,after,after,,*,2015,
1906,afternoon,afternoon,,*,2015,
1907,again,again,,*,2015,
1908,against,against,,*,2015,
1909,age,age,,*,2015,
1910,agency,agency,,,2015,
1911,agenda,agenda,,,2015,
1912,agent,agent,,,2015,
1913,aggressive,aggressive,,,2015,
1914,ago,ago,,*,2015,
1915,agree,agree,,*,2015,
1916,agriculture,agriculture,,,2015,
1917,ahead,ahead,,*,2015,
1918,aid,aid,,,2015,
1919,aim,aim,,,2015,
1920,air,air,,*,2015,
1921,aircraft,aircraft,,,2015,
1922,airline,airline,,*,2015,
1923,airport,airport,,*,2015,
1924,aisle,aisle,,,2015,
1925,alert,alert,,,2015,
1926,alien,alien,,,2015,
1927,alike,alike,,,2015,
1928,alive,alive,,,2015,
1929,all,all,,*,2015,
1930,allocate,allocate,,**,2015,
1931,allow,allow,,,2015,
1932,ally,ally,,,2015,
1933,almost,almost,,*,2015,
1934,alone,alone,,*,2015,
1935,along,along,,*,2015,
1936,alongside,alongside,,,2015,
1937,aloud,aloud,,*,2015,
1938,already,already,,*,2015,
1939,alright,alright,,*,2015,
1940,also,also,,*,2015,
1941,alter,alter,,,2015,
1942,alternative,alternative,,,2015,
1943,although,although,,,2015,
1944,altogether,altogether,,,2015,
1945,always,always,,*,2015,
1946,amaze,amaze,,,2015,
1947,ambassador,ambassador,,,2015,
1948,ambition,ambition,,,2015,
1949,among,among,,,2015,
1950,amount,amount,,,2015,
1951,amplify,amplify,,**,2015,
1952,amuse,amuse,,,2015,
1953,anchor,anchor,,,2015,
1954,ancient,ancient,,,2015,
1955,and,and,,*,2015,
1956,angel,angel,,*,2015,
1957,anger,anger,,*,2015,
1958,angle,angle,,,2015,
1959,animal,animal,,*,2015,
1960,anniversary,anniversary,,,2015,
1961,announce,announce,,,2015,
1962,annoy,annoy,,,2015,
1963,annual,annual,,,2015,
1964,another,another,,*,2015,
1965,answer,answer,,*,2015,
1966,ant,ant,,*,2015,
1967,anticipate,anticipate,,,2015,
1968,anxiety,anxiety,,,2015,
1969,anxious,anxious,,,2015,
1970,any,any,,*,2015,
1971,apart,apart,,,2015,
1972,apology,apology,,,2015,
1973,apparent,apparent,,,2015,
1974,appeal,appeal,,,2015,
1975,appear,appear,,,2015,
1976,apple,apple,,*,2015,
1977,applicant,applicant,,,2015,
1978,apply,apply,,,2015,
1979,appoint,appoint,,,2015,
1980,appreciate,appreciate,,,2015,
1981,approach,approach,,,2015,
1982,appropriate,appropriate,,,2015,
1983,approve,approve,,,2015,
1984,approximate,approximate,,,2015,
1985,architect,architect,,,2015,
1986,architecture,architecture,,,2015,
1987,archive,archive,,**,2015,
1988,area,area,,*,2015,
1989,argue,argue,,,2015,
1990,arise,arise,,,2015,
1991,arm,arm,,*,2015,
1992,army,army,,,2015,
1993,around,around,,*,2015,
1994,arrange,arrange,,,2015,
1995,arrest,arrest,,,2015,
1996,arrive,arrive,,*,2015,
1997,arrow,arrow,,,2015,
1998,art,art,,*,2015,
1999,article,article,,,2015,
2000,artificial,artificial,,,2015,
2001,as,as,,*,2015,
2002,ash,ash,,,2015,
2003,aside,aside,,,2015,
2004,ask,ask,,*,2015,
2005,asleep,asleep,,,2015,
2006,aspect,aspect,,,2015,
2007,aspire,aspire,,,2015,
2008,assault,assault,,**,2015,
2009,assemble,assemble,,,2015,
2010,assert,assert,,,2015,
2011,assess,assess,,,2015,
2012,asset,asset,,,2015,
2013,assign,assign,,,2015,
2014,assist,assist,,,2015,
2015,associate,associate,,,2015,
2016,assume,assume,,,2015,
2017,assure,assure,,,2015,
2018,astonish,astonish,,,2015,
2019,at,at,,*,2015,
2020,athlete,athlete,,,2015,
2021,atmosphere,atmosphere,,,2015,
2022,atom,atom,,,2015,
2023,attach,attach,,,2015,
2024,attack,attack,,,2015,
2025,attain,attain,,,2015,
2026,attempt,attempt,,,2015,
2027,attend,attend,,,2015,
2028,attention,attention,,,2015,
2029,attitude,attitude,,,2015,
2030,attorney,attorney,,**,2015,
2031,attract,attract,,,2015,
2032,attribute,attribute,,,2015,
2033,auction,auction,,,2015,
2034,audience,audience,,,2015,
2035,aunt,aunt,,*,2015,
2036,authentic,authentic,,**,2015,
2037,author,author,,,2015,
2038,autobiography,autobiography,,,2015,
2039,automatic,automatic,,,2015,
2040,automobile,automobile,,,2015,
2041,available,available,,,2015,
2042,avenue,avenue,,,2015,
2043,average,average,,,2015,
2044,avoid,avoid,,,2015,
2045,await,await,,,2015,
2046,awake,awake,,,2015,
2047,award,award,,,2015,
2048,aware,aware,,,2015,
2049,away,away,,*,2015,
2050,awesome,awesome,,,2015,
2051,awful,awful,,,2015,
2052,awkward,awkward,,,2015,
2054,baby,baby,,*,2015,
1831,back,back,,,2015,"pos=adv, n, v"
2055,background,background,,*,2015,
2056,bad,bad,,*,2015,
2057,bake,bake,,*,2015,
2058,balance,balance,,,2015,
2059,ball,ball,,*,2015,
2060,balloon,balloon,,*,2015,
2061,ban,ban,,,2015,
2062,band,band,,*,2015,
2063,bang,bang,,,2015,
2064,bank,bank,,*,2015,
2065,bankrupt,bankrupt,,**,2015,
2066,bar,bar,,,2015,
2067,bare,bare,,,2015,
2068,bargain,bargain,,,2015,
2069,bark,bark,,,2015,
2070,barn,barn,,,2015,
2071,barrier,barrier,,,2015,
2072,base,base,,*,2015,
2073,baseball,baseball,,*,2015,
2074,basic,basic,,*,2015,
2075,basis,basis,,,2015,
2076,basket,basket,,*,2015,
2077,basketball,basketball,,*,2015,
1832,bat,bat,,,2015,"pos=n, v"
2078,bath,bath,,*,2015,
2079,bathroom,bathroom,,*,2015,
2080,battery,battery,,*,2015,
2081,battle,battle,,*,2015,
2082,bay,bay,,,2015,
1820,be,be,"am, are, is, was, were, been, being",,2015,
2083,beach,beach,,*,2015,
2084,beam,beam,,,2015,
2085,bean,bean,,*,2015,
2086,bear,bear,,*,2015,
2087,beard,beard,,,2015,
2088,beast,beast,,,2015,
2089,beat,beat,,,2015,
2090,beauty,beauty,,*,2015,
2091,because,because,,*,2015,
2092,become,become,,*,2015,
2093,bed,bed,,*,2015,
2094,bedroom,bedroom,,*,2015,
2095,bee,bee,,*,2015,
2096,beef,beef,,*,2015,
2097,beer,beer,,,2015,
2098,before,before,,*,2015,
2099,beg,beg,,,2015,
2100,begin,begin,,*,2015,
2101,behalf,behalf,,,2015,
2102,behave,behave,,,2015,
2103,behind,behind,,*,2015,
2104,believe,believe,,*,2015,
2105,bell,bell,,*,2015,
2106,belong,belong,,,2015,
2107,below,below,,*,2015,
2108,bend,bend,,,2015,
2109,beneath,beneath,,,2015,
2110,benefit,benefit,,,2015,
2111,berry,berry,,,2015,
2112,beside,beside,,*,2015,
2113,bet,bet,,,2015,
2114,betray,betray,,,2015,
2115,between,between,,*,2015,
2116,beyond,beyond,,,2015,
2117,bias,bias,,,2015,
2118,bible,bible,,,2015,
2119,bicycle,bicycle,,*,2015,
2120,big,big,,*,2015,
2121,bill,bill,,*,2015,
2122,billion,billion,,,2015,
2123,bin,bin,,,2015,
2124,bind,bind,,,2015,
2125,biography,biography,,,2015,
2126,biology,biology,,,2015,
2127,bird,bird,,*,2015,
2128,birth,birth,,*,2015,
2129,birthday,birthday,,*,2015,
2130,bishop,bishop,,**,2015,
2131,bit,bit,,,2015,
2132,bite,bite,,*,2015,
2133,bitter,bitter,,,2015,
2134,black,black,,*,2015,
2135,blame,blame,,,2015,
2136,blank,blank,,,2015,
2137,blanket,blanket,,,2015,
2138,blast,blast,,**,2015,
2139,blend,blend,,,2015,
2140,bless,bless,,,2015,
2141,blind,blind,,,2015,
2142,blink,blink,,,2015,
2143,block,block,,*,2015,
2144,blonde,blonde,,,2015,
2145,blood,blood,,*,2015,
2146,bloom,bloom,,,2015,
2147,blossom,blossom,,,2015,
2148,blow,blow,,,2015,
2149,blue,blue,,*,2015,
2150,board,board,,*,2015,
2151,boat,boat,,*,2015,
2152,body,body,,*,2015,
2153,boil,boil,,,2015,
2154,bold,bold,,,2015,
2155,bomb,bomb,,*,2015,
2156,bond,bond,,,2015,
2157,bone,bone,,*,2015,
1822,book,book,"books, booked, booking",,2015,
2158,boom,boom,,,2015,
2159,boost,boost,,,2015,
2160,boot,boot,,*,2015,
2161,border,border,,,2015,
2162,bore,bore,,,2015,
2163,borrow,borrow,,*,2015,
2164,boss,boss,,*,2015,
2165,both,both,,*,2015,
2166,bother,bother,,,2015,
2167,bottle,bottle,,*,2015,
2168,bottom,bottom,,*,2015,
2169,bounce,bounce,,,2015,
2170,boundary,boundary,,,2015,
2171,bow,bow,,,2015,
2172,bowl,bowl,,*,2015,
2173,boy,boy,,*,2015,
2174,brain,brain,,*,2015,
2175,brake,brake,,*,2015,
2176,branch,branch,,*,2015,
2177,brand,brand,,*,2015,
2178,brave,brave,,*,2015,
2179,bread,bread,,*,2015,
2180,break,break,,*,2015,
2181,breakfast,breakfast,,*,2015,
2182,breast,breast,,,2015,
2183,breathe,breathe,,,2015,
2184,breed,breed,,**,2015,
2185,breeze,breeze,,,2015,
2186,brew,brew,,**,2015,
2187,brick,brick,,,2015,
2188,bride,bride,,,2015,
2189,bridge,bridge,,*,2015,
2190,brief,brief,,,2015,
2191,bright,bright,,*,2015,
2192,brilliant,brilliant,,,2015,
2193,bring,bring,,*,2015,
2194,broad,broad,,,2015,
2195,broadcast,broadcast,,,2015,
2196,brother,brother,,*,2015,
2197,brown,brown,,*,2015,
2198,brush,brush,,*,2015,
2199,brute,brute,,**,2015,
2200,bubble,bubble,,*,2015,
2201,budget,budget,,,2015,
2202,bug,bug,,*,2015,
2203,build,build,,*,2015,
2204,bulk,bulk,,**,2015,
2205,bull,bull,,,2015,
2206,bullet,bullet,,,2015,
2207,bully,bully,,,2015,
2208,bump,bump,,,2015,
2209,bunch,bunch,,,2015,
2210,bundle,bundle,,,2015,
2211,burden,burden,,,2015,
2212,burn,burn,,*,2015,
2213,burst,burst,,,2015,
2214,bury,bury,,,2015,
2215,bush,bush,,,2015,
2216,business,business,,*,2015,
2217,busy,busy,,*,2015,
2218,but,but,,*,2015,
2219,butcher,butcher,,,2015,
2220,button,button,,*,2015,
2221,buy,buy,,*,2015,
2222,buzz,buzz,,,2015,
2223,by,by,,*,2015,
2225,cab,cab,,,2015,
2226,cabin,cabin,,,2015,
2227,cable,cable,,,2015,
2228,cage,cage,,*,2015,
2229,calculate,calculate,,,2015,
2230,calendar,calendar,,*,2015,
2231,call,call,,*,2015,
2232,calm,calm,,*,2015,
2233,can,can,,*,2015,
2234,cancel,cancel,,,2015,
2235,cancer,cancer,,,2015,
2236,candidate,candidate,,,2015,
2237,candy,candy,,*,2015,
2238,canvas,canvas,,,2015,
2239,cap,cap,,*,2015,
2240,capable,capable,,,2015,
2241,cape,cape,,,2015,
2242,capital,capital,,,2015,
2243,captain,captain,,*,2015,
2244,caption,caption,,**,2015,
2245,capture,capture,,,2015,
2246,car,car,,*,2015,
2247,care,care,,*,2015,
2248,career,career,,,2015,
2249,carrot,carrot,,*,2015,
2250,carry,carry,,*,2015,
2251,cart,cart,,*,2015,
2252,carve,carve,,,2015,
2253,case,case,,*,2015,
2254,cash,cash,,*,2015,
2255,cast,cast,,,2015,
2256,castle,castle,,*,2015,
2257,casual,casual,,,2015,
2258,cat,cat,,*,2015,
2259,catch,catch,,*,2015,
2260,category,category,,,2015,
2261,cater,cater,,**,2015,
2262,cathedral,cathedral,,**,2015,
2263,cattle,cattle,,,2015,
2264,causal,causal,,,2015,
2265,cause,cause,,,2015,
2266,caution,caution,,,2015,
2267,cave,cave,,,2015,
2268,cease,cease,,,2015,
2269,ceiling,ceiling,,,2015,
2270,celebrate,celebrate,,,2015,
2271,celebrity,celebrity,,,2015,
2272,cell,cell,,,2015,
2273,censor,censor,,,2015,
2274,century,century,,,2015,
2275,certain,certain,,*,2015,
2276,certificate,certificate,,,2015,
2277,chain,chain,,*,2015,
2278,chair,chair,,*,2015,
2279,chairman,chairman,,,2015,
2280,challenge,challenge,,,2015,
2281,chamber,chamber,,**,2015,
2282,chance,chance,,*,2015,
1833,change,change,,,2015,"pos=n, v"
2283,chaos,chaos,,,2015,
2284,character,character,,,2015,
2285,characteristic,characteristic,,,2015,
2286,charge,charge,,,2015,
2287,charity,charity,,,2015,
2288,charm,charm,,,2015,
2289,chase,chase,,,2015,
2290,chat,chat,,,2015,
2291,cheap,cheap,,*,2015,
2292,cheek,cheek,,,2015,
2293,cheer,cheer,,,2015,
2294,chef,chef,,,2015,
2295,chemical,chemical,,,2015,
2296,chemistry,chemistry,,,2015,
2297,chest,chest,,,2015,
2298,chew,chew,,,2015,
2299,chief,chief,,,2015,
2300,child,child,,*,2015,
2301,chill,chill,,,2015,
2302,chin,chin,,,2015,
2303,chip,chip,,,2015,
2304,choir,choir,,,2015,
2305,choose,choose,,*,2015,
2306,chop,chop,,,2015,
2307,chorus,chorus,,,2015,
2308,chronic,chronic,,**,2015,
2309,church,church,,*,2015,
2310,cigarette,cigarette,,,2015,
2311,cinema,cinema,,*,2015,
2312,circle,circle,,*,2015,
2313,circulate,circulate,,,2015,
2314,circumstance,circumstance,,,2015,
2315,cite,cite,,,2015,
2316,citizen,citizen,,,2015,
2317,city,city,,*,2015,
2318,civil,civil,,,2015,
2319,claim,claim,,,2015,
2320,clap,clap,,,2015,
2321,clarify,clarify,,,2015,
2322,clash,clash,,,2015,
2323,class,class,,*,2015,
2324,classic,classic,,,2015,
2325,classify,classify,,,2015,
2326,classroom,classroom,,*,2015,
2327,clause,clause,,,2015,
2328,clay,clay,,,2015,
2329,clean,clean,,*,2015,
2330,clear,clear,,*,2015,
2331,clerk,clerk,,*,2015,
2332,clever,clever,,*,2015,
2333,client,client,,,2015,
2334,cliff,cliff,,,2015,
2335,climate,climate,,,2015,
2336,climb,climb,,*,2015,
2337,cling,cling,,,2015,
2338,clinic,clinic,,,2015,
2339,clip,clip,,*,2015,
2340,clock,clock,,*,2015,
1834,close,close,,,2015,"pos=adj, adv, v"
2341,cloth,cloth,,*,2015,
2342,cloud,cloud,,*,2015,
2343,club,club,,*,2015,
2344,clue,clue,,,2015,
2345,cluster,cluster,,,2015,
2346,coach,coach,,,2015,
2347,coal,coal,,,2015,
2348,coast,coast,,,2015,
2349,code,code,,,2015,
2350,coin,coin,,*,2015,
2351,coincide,coincide,,,2015,
2352,cold,cold,,*,2015,
2353,collaborate,collaborate,,,2015,
2354,collapse,collapse,,,2015,
2355,collar,collar,,,2015,
2356,colleague,colleague,,,2015,
2357,collect,collect,,*,2015,
2358,college,college,,*,2015,
2359,colony,colony,,,2015,
2360,column,column,,,2015,
2361,combat,combat,,,2015,
2362,combine,combine,,,2015,
2363,come,come,,*,2015,
2364,comedy,comedy,,*,2015,
2365,comfort,comfort,,,2015,
2366,command,command,,,2015,
2367,commence,commence,,**,2015,
2368,comment,comment,,,2015,
2369,commerce,commerce,,,2015,
2370,commission,commission,,,2015,
2371,commit,commit,,,2015,
2372,committee,committee,,,2015,
2373,commodity,commodity,,**,2015,
2374,communicate,communicate,,,2015,
2375,communist,communist,,,2015,
2376,community,community,,,2015,
2377,companion,companion,,,2015,
2378,company,company,,*,2015,
2379,compare,compare,,,2015,
2380,compatible,compatible,,**,2015,
2381,compel,compel,,**,2015,
2382,compensate,compensate,,**,2015,
2383,compete,compete,,,2015,
2384,competent,competent,,,2015,
2385,compile,compile,,**,2015,
2386,complain,complain,,,2015,
2387,complement,complement,,,2015,
2388,complete,complete,,,2015,
2389,complex,complex,,,2015,
2390,complicate,complicate,,,2015,
2391,component,component,,**,2015,
2392,compose,compose,,,2015,
2393,compound,compound,,**,2015,
2394,comprehensive,comprehensive,,,2015,
2395,comprise,comprise,,**,2015,
2396,compromise,compromise,,**,2015,
2397,compulsory,compulsory,,**,2015,
2398,conceal,conceal,,,2015,
2399,conceive,conceive,,**,2015,
2400,concentrate,concentrate,,,2015,
2401,concept,concept,,,2015,
2402,concern,concern,,,2015,
2403,concert,concert,,*,2015,
2404,conclude,conclude,,,2015,
2405,concrete,concrete,,,2015,
